Stock ticker,Stock name,Last price of stock,Stock change,Stock percentage change,Volume,Average volume over 3 months,Market cap,PE ratio
NVDA, NVIDIA Corporation  ,197.37, +4.52  , +2.34%  ,107741000,167482000,4805000000000,      46.98 
PLUG, Plug Power Inc.  ,1.91, 0.00  , 0.00%  ,53008000,96692000,2658000000,      -- 
IBRX, ImmunityBio Inc.  ,10.32, -1.23  , -10.65%  ,51174000,32777000,10165000000,      -- 
INTC, Intel Corporation  ,46.54, +0.42  , +0.91%  ,41271000,103611000,232476000000,      -- 
CRCL, Circle Internet Group  ,79.72, +18.35  , +29.91%  ,39619000,11275000,20285000000,      -- 
ONDS, Ondas Inc.  ,10.66, +0.27  , +2.55%  ,39177000,91605000,4800000000,      -- 
NVO, Novo Nordisk A/S  ,37.89, -0.70  , -1.82%  ,36632000,22001000,168482000000,      13.07 
RXRX, Recursion Pharmaceuticals Inc.  ,3.88, +0.35  , +9.79%  ,35009000,21717000,2020000000,      -- 
NFLX, Netflix Inc.  ,82.04, +4.00  , +5.12%  ,34560000,46598000,347983000000,      31.09 
PLTR, Palantir Technologies Inc.  ,134.87, +6.03  , +4.68%  ,32710000,44177000,322572000000,      214.67 
SOFI, SoFi Technologies Inc.  ,19.32, +0.66  , +3.51%  ,32526000,54880000,24632000000,      49.32 
UWMC, UWM Holdings Corporation  ,3.85, -0.71  , -15.68%  ,32226000,15369000,6177000000,      78.97 
OWL, Blue Owl Capital Inc.  ,11.14, +0.41  , +3.77%  ,32121000,19758000,17406000000,      104.70 
TSLA, Tesla Inc.  ,414.02, +4.64  , +1.13%  ,32014000,66144999,1554000000000,      381.31 
BMNR, Bitmine Immersion Technologies Inc.  ,22.01, +2.57  , +13.20%  ,30938000,45153000,10010000000,      -- 
MARA, MARA Holdings Inc.  ,8.7, +0.65  , +8.04%  ,29165000,42224000,3289000000,      3.75 
HPQ, HP Inc.  ,18.27, +0.07  , +0.41%  ,28533000,16590000,17082000000,      7.02 
F, Ford Motor Company  ,14.4, +0.20  , +1.44%  ,28523000,59326000,57468000000,      -- 
PATH, UiPath Inc.  ,9.81, -0.29  , -2.87%  ,26884000,28258000,5246000000,      25.69 
NVTS, Navitas Semiconductor Corporation  ,9.91, +1.65  , +19.95%  ,25667000,20050000,2284000000,      -- 
AMD, Advanced Micro Devices Inc.  ,212.6, -1.24  , -0.58%  ,24865000,35526000,346625000000,      76.69 
PYPL, PayPal Holdings Inc.  ,47.3, +0.28  , +0.60%  ,23803000,21829000,44260000000,      7.70 
AAL, American Airlines Group Inc.  ,13.27, +0.12  , +0.91%  ,21270000,55090000,8762000000,      80.80 
MSFT, Microsoft Corporation  ,398.05, +9.05  , +2.33%  ,20825000,31525000,2958000000000,      24.86 
HOOD, Robinhood Markets Inc.  ,77.22, +3.83  , +5.22%  ,20708000,27943000,69524000000,      37.13 
NU, Nu Holdings Ltd.  ,16.78, +0.25  , +1.54%  ,20421000,43318000,81333000000,      33.98 
WULF, TeraWulf Inc.  ,18.02, +0.47  , +2.65%  ,20355000,30556000,7547000000,      -- 
OPEN, Opendoor Technologies Inc.  ,4.94, -0.17  , -3.33%  ,19615000,59873000,4712000000,      -- 
HIMS, Hims & Hers Health Inc.  ,15.93, +0.47  , +3.04%  ,19471000,21882000,3626000000,      29.11 
LUNR, Intuitive Machines Inc.  ,16.44, -2.46  , -13.02%  ,19417000,10366000,2340000000,      -- 
AMZN, Amazon.com Inc.  ,209.38, +0.82  , +0.39%  ,18686000,46758000,2248000000000,      29.30 
JOBY, Joby Aviation Inc.  ,9.85, +0.13  , +1.33%  ,18518000,23813000,9501000000,      -- 
BTG, B2Gold Corp.  ,6.18, +0.09  , +1.54%  ,17737000,39623000,8263000000,      19.46 
RGTI, Rigetti Computing Inc.  ,17.41, +0.93  , +5.61%  ,16840000,32746000,5744000000,      -- 
IREN, IREN Limited  ,44.5, -0.95  , -2.09%  ,16422000,38643000,14764000000,      29.96 
FIG, Figma Inc.  ,30.31, +2.88  , +10.50%  ,16367000,10752000,15813000000,      -- 
SOUN, SoundHound AI Inc.  ,8.68, +0.32  , +3.77%  ,16268999,24187000,3644000000,      -- 
NIO, NIO Inc.  ,5.26, -0.04  , -0.75%  ,15940000,44164000,13301000000,      -- 
ACHR, Archer Aviation Inc.  ,7.2, +0.01  , +0.14%  ,15523000,37671000,5286000000,      -- 
RKT, Rocket Companies Inc.  ,17.18, -0.52  , -2.96%  ,15463000,26880000,48391000000,      -- 
MU, Micron Technology Inc.  ,426.92, +8.91  , +2.13%  ,15461000,32336000,480502000000,      40.62 
CIFR, Cipher Digital Inc.  ,16.45, -0.67  , -3.91%  ,15079000,31464000,6499000000,      -- 
GRAB, Grab Holdings Limited  ,4.28, +0.12  , +3.01%  ,15051000,46395000,17480000000,      73.00 
KVUE, Kenvue Inc.  ,18.79, -0.22  , -1.16%  ,14389000,44383000,36001000000,      24.63 
ORCL, Oracle Corporation  ,149.77, +3.63  , +2.48%  ,14275000,28261000,430448000000,      27.80 
